,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
72,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-255,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,Conor Coady\2928dca2,eng ENG,DF,Wolves,28-294,1993,17.0,1,5,1,20.0,0.29,0.06,0.20,1.00,9.3,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches
74,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-066,1988,13.0,0,4,0,0.0,0.31,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
75,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-230,2001,5.0,0,1,0,0.0,0.20,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
76,Aaron Connolly\27c01749,ie IRL,FW,Brighton,21-322,2000,1.7,0,2,0,0.0,1.15,0.00,0.00,,15.7,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
77,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-108,1991,14.2,0,4,0,0.0,0.28,0.00,0.00,,11.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
78,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-174,1989,5.5,0,3,0,0.0,0.55,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
79,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-080,1996,6.2,5,13,9,69.2,2.08,1.44,0.38,0.56,17.2,1,0,0,1.5,1.5,0.12,+3.5,+3.5,Matches
80,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,27-338,1994,0.2,0,1,0,0.0,4.09,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
81,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-116,1992,11.2,0,7,2,28.6,0.63,0.18,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
82,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-001,1989,12.7,1,9,2,22.2,0.71,0.16,0.11,0.50,21.4,5,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
83,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-009,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Cucho\71b47ab9,co COL,FWMF,Watford,22-240,1999,6.8,2,17,4,23.5,2.51,0.59,0.12,0.50,18.4,3,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
85,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-147,1998,12.3,0,6,1,16.7,0.49,0.08,0.00,0.00,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
86,Patson Daka\ca45605e,zm ZAM,FWMF,Leicester City,23-068,1998,3.2,2,9,6,66.7,2.79,1.86,0.22,0.33,12.3,0,0,0,1.9,1.9,0.21,+0.1,+0.1,Matches
87,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-241,1991,16.9,0,18,4,22.2,1.07,0.24,0.00,0.00,21.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
88,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22-273,1999,4.0,0,3,2,66.7,0.74,0.50,0.00,0.00,19.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
